Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Comments),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Design file),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Effort),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Impact),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Project start),Custom field (Project target),Custom field (Rank),Custom field (Roadmap),Custom field (Score),Sprint,Custom field (Start date),Custom field (State),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Status Category,Status Category Changed
"As a user, I want quick access buttons on the home page for direct navigation.",T8-76,10369,Story,Done,T8,RippleWealth,software,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,,Medium,Done,,,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,08/Apr/26 12:41 AM,05/May/26 1:21 AM,22/Apr/26 1:40 PM,05/May/26 1:21 AM,,0,,,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004o:r,,,Team-8 Sprint 3,,,2.0,,,Done,05/May/26 1:21 AM
"As a user, I want to ask basic questions about portfolio risk, so that I can get quick insights.",T8-75,10368,Story,Done,T8,RippleWealth,software,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,,Medium,Done,,,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,08/Apr/26 12:37 AM,05/May/26 1:21 AM,22/Apr/26 1:40 PM,05/May/26 1:21 AM,,0,,,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004o:i,,,Team-8 Sprint 3,,,3.0,,,Done,05/May/26 1:21 AM
"As a user, I want fast response times, so that I can interact efficiently.",T8-74,10367,Story,Done,T8,RippleWealth,software,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,,Medium,Done,,,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,08/Apr/26 12:37 AM,05/May/26 1:21 AM,28/Apr/26 2:59 PM,05/May/26 1:21 AM,,0,,,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004o:,,,Team-8 Sprint 3,,,2.0,,,Done,05/May/26 1:21 AM
"As an investor, I want event data to refresh dynamically, so that I stay updated on global disruptions.",T8-73,10366,Story,Done,T8,RippleWealth,software,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,,Medium,Done,,,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,08/Apr/26 12:37 AM,05/May/26 1:21 AM,22/Apr/26 1:40 PM,05/May/26 1:21 AM,,0,,,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004n:,,,Team-8 Sprint 3,,,3.0,,,Done,05/May/26 1:21 AM
"As a user, I want the application to work across different browsers, so that I can access it from any environment.",T8-72,10333,Story,Done,T8,RippleWealth,software,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,,Medium,Done,,,Deepali Sawant,712020:ad327fab-d413-4a48-8ebc-c2404078c1b9,Deepali Sawant,712020:ad327fab-d413-4a48-8ebc-c2404078c1b9,07/Apr/26 6:02 PM,05/May/26 1:21 AM,22/Apr/26 1:40 PM,05/May/26 1:21 AM,,0,,,Deepali Sawant,712020:ad327fab-d413-4a48-8ebc-c2404078c1b9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004m:,,,Team-8 Sprint 3,,,3.0,,,Done,05/May/26 1:21 AM
"As a user, I want secure session handling (login/logout/session timeout), so that my account remains protected.",T8-71,10332,Story,Done,T8,RippleWealth,software,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,,Medium,Done,,,Deepali Sawant,712020:ad327fab-d413-4a48-8ebc-c2404078c1b9,Deepali Sawant,712020:ad327fab-d413-4a48-8ebc-c2404078c1b9,07/Apr/26 6:02 PM,05/May/26 1:21 AM,22/Apr/26 1:40 PM,05/May/26 1:21 AM,,0,,,Deepali Sawant,712020:ad327fab-d413-4a48-8ebc-c2404078c1b9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004j:,,,Team-8 Sprint 3,,,5.0,,,Done,05/May/26 1:21 AM
"As an investor, I want to complete the full workflow from portfolio upload to risk insights, so that I can evaluate the platform end-to-end.",T8-70,10331,Story,Done,T8,RippleWealth,software,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,,Medium,Done,,,Deepali Sawant,712020:ad327fab-d413-4a48-8ebc-c2404078c1b9,Deepali Sawant,712020:ad327fab-d413-4a48-8ebc-c2404078c1b9,07/Apr/26 6:01 PM,05/May/26 1:21 AM,22/Apr/26 1:40 PM,05/May/26 1:21 AM,,0,,,Deepali Sawant,712020:ad327fab-d413-4a48-8ebc-c2404078c1b9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004d:,,,Team-8 Sprint 3,,,8.0,,,Done,05/May/26 1:21 AM
Work on Deliverable 4,T8-37,10036,Story,In Progress,T8,RippleWealth,software,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,,Medium,,Deepali Sawant,712020:ad327fab-d413-4a48-8ebc-c2404078c1b9,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,27/Feb/26 3:02 PM,28/Apr/26 2:59 PM,,,,0,,,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005b:i,,,Team-8 Sprint 3,,,5.0,,,In Progress,28/Apr/26 2:59 PM
Finish Technical Paper,T8-36,10035,Story,Done,T8,RippleWealth,software,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,,Medium,Done,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,27/Feb/26 3:02 PM,28/Apr/26 1:45 AM,28/Apr/26 2:59 PM,28/Apr/26 1:44 AM,,0,,,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005b:,,,Team-8 Sprint 3,,,5.0,,,Done,28/Apr/26 1:44 AM
Finish Project Demo,T8-35,10034,Story,Done,T8,RippleWealth,software,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,,Medium,Done,Jaisheel Paladugu,712020:fa977492-4555-4e60-be27-d0c864d336d6,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,27/Feb/26 3:02 PM,28/Apr/26 1:45 AM,,28/Apr/26 1:44 AM,,0,,,Sharvani Kadarla,712020:d5f4e701-8ba4-4584-b81a-2f4866b48672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005a:,,,Team-8 Sprint 3,,,5.0,,,Done,28/Apr/26 1:44 AM
